nodes,processes_per_node,message_size,actual_time_seconds,simgrid_time_seconds,loggop_time_seconds
6,1,1024,0.014438,1.6e-05,0.022915854
6,1,4096,0.00195,1.4e-05,0.022572006
6,1,8192,0.015193,1.8e-05,0.021958677
6,1,16384,0.013518,2.2e-05,0.014105497
6,1,65536,0.019376,5.5e-05,0.025260893
6,1,262144,0.002127,0.000181,0.032415808
6,1,1048576,0.002096,0.000542,0.061183311
6,1,4194304,0.005582,0.001771,0.181868053
8,1,1024,0.001437,2.1e-05,0.023873875
8,1,4096,0.016402,1.9e-05,0.025213275
8,1,8192,0.013406,2.4e-05,0.024270617
8,1,16384,0.015909,2.9e-05,0.023659128
8,1,65536,0.007514,7e-05,0.029893249
8,1,262144,0.01555,0.000222,0.02980262
8,1,1048576,0.013622,0.000552,0.077581291
8,1,4194304,0.013806,0.001912,0.242140868
10,1,1024,0.025109,3.6e-05,0.033773268
10,1,4096,0.020249,1.9e-05,0.033473836
10,1,8192,0.02521,2.5e-05,0.025201524
10,1,16384,0.014898,3e-05,0.033932484
10,1,65536,0.019422,7.5e-05,0.02578188
10,1,262144,0.024905,0.00024,0.034665782
10,1,1048576,0.013992,0.000676,0.085220256
10,1,4194304,0.015544,0.002341,0.302935546
12,1,1024,0.022745,2.3e-05,0.040754382
12,1,4096,0.032963,1.9e-05,0.044810822
12,1,8192,0.033296,2.5e-05,0.041340972
12,1,16384,0.033906,3.1e-05,0.038802923
12,1,65536,0.034266,7.4e-05,0.043120874
12,1,262144,0.021905,0.000239,0.041456917
12,1,1048576,0.028043,0.000611,0.085579434
12,1,4194304,0.027869,0.002192,0.332505962
14,1,1024,0.031895,2.2e-05,0.050155955
14,1,4096,0.032539,1.9e-05,0.05061388
14,1,8192,0.032374,2.5e-05,0.048588972
14,1,16384,0.023131,3.3e-05,0.031945671
14,1,65536,0.028068,7.5e-05,0.038147469
14,1,262144,0.033299,0.000249,0.055563705
14,1,1048576,0.03413,0.000648,0.10516424
14,1,4194304,0.039493,0.002457,0.413948816
16,1,1024,0.01663,2.6e-05,0.061962219
16,1,4096,0.015143,2.4e-05,0.05535088
16,1,8192,0.014077,2.9e-05,0.042777972
16,1,16384,0.014337,3.6e-05,0.031622483
16,1,65536,0.013881,8.7e-05,0.034058727
16,1,262144,0.013132,0.000291,0.051851962
16,1,1048576,0.015016,0.000715,0.120638817
16,1,4194304,0.023313,0.002451,0.497474176
