file,max_host_time
two_tree_6n_1ppn_msg1024,22915854
two_tree_6n_1ppn_msg1048576,61183311
two_tree_6n_1ppn_msg16384,14105497
two_tree_6n_1ppn_msg262144,32415808
two_tree_6n_1ppn_msg4096,22572006
two_tree_6n_1ppn_msg4194304,181868053
two_tree_6n_1ppn_msg65536,25260893
two_tree_6n_1ppn_msg8192,21958677
two_tree_8n_1ppn_msg1024,23873875
two_tree_8n_1ppn_msg1048576,77581291
two_tree_8n_1ppn_msg16384,23659128
two_tree_8n_1ppn_msg262144,29802620
two_tree_8n_1ppn_msg4096,25213275
two_tree_8n_1ppn_msg4194304,242140868
two_tree_8n_1ppn_msg65536,29893249
two_tree_8n_1ppn_msg8192,24270617
two_tree_10n_1ppn_msg1024,33773268
two_tree_10n_1ppn_msg1048576,85220256
two_tree_10n_1ppn_msg16384,33932484
two_tree_10n_1ppn_msg262144,34665782
two_tree_10n_1ppn_msg4096,33473836
two_tree_10n_1ppn_msg4194304,302935546
two_tree_10n_1ppn_msg65536,25781880
two_tree_10n_1ppn_msg8192,25201524
two_tree_12n_1ppn_msg1024,40754382
two_tree_12n_1ppn_msg1048576,85579434
two_tree_12n_1ppn_msg16384,38802923
two_tree_12n_1ppn_msg262144,41456917
two_tree_12n_1ppn_msg4096,44810822
two_tree_12n_1ppn_msg4194304,332505962
two_tree_12n_1ppn_msg65536,43120874
two_tree_12n_1ppn_msg8192,41340972
two_tree_14n_1ppn_msg1024,50155955
two_tree_14n_1ppn_msg1048576,105164240
two_tree_14n_1ppn_msg16384,31945671
two_tree_14n_1ppn_msg262144,55563705
two_tree_14n_1ppn_msg4096,50613880
two_tree_14n_1ppn_msg4194304,413948816
two_tree_14n_1ppn_msg65536,38147469
two_tree_14n_1ppn_msg8192,48588972
two_tree_16n_1ppn_msg1024,61962219
two_tree_16n_1ppn_msg1048576,120638817
two_tree_16n_1ppn_msg16384,31622483
two_tree_16n_1ppn_msg262144,51851962
two_tree_16n_1ppn_msg4096,55350880
two_tree_16n_1ppn_msg4194304,497474176
two_tree_16n_1ppn_msg65536,34058727
two_tree_16n_1ppn_msg8192,42777972
