nodes,processes_per_node,message_size,actual_time_seconds,simgrid_time_seconds,loggop_time_seconds
6,1,1024,0.001016,0.000989,0.018245849
6,1,4096,0.000987,0.000925,0.022892289
6,1,8192,0.000962,0.001153,0.018498204
6,1,16384,0.001106,0.001416,0.02230809
6,1,65536,0.00239,0.004076,0.016111023
6,1,262144,0.007605,0.01269,0.029379662
6,1,1048576,0.02985,0.034563,0.069632722
6,1,4194304,0.119894,0.122191,0.218354053
6,2,1024,0.000887,0.001331,0.030183254
6,2,4096,0.0009,0.001263,0.030457688
6,2,8192,0.000986,0.001587,0.038088837
6,2,16384,0.001076,0.001955,0.031365469
6,2,65536,0.002952,0.00581,0.04472588
6,2,262144,0.010452,0.018244,0.044809728
6,2,1048576,0.036255,0.051194,0.076926704
6,2,4194304,0.168733,0.18406,0.292108546
6,4,1024,0.00108,0.001697,0.069969796
6,4,4096,0.001109,0.001639,0.076133309
6,4,8192,0.001116,0.00207,0.053565954
6,4,16384,0.001353,0.002575,0.130688459
6,4,65536,0.003057,0.008103,0.053099723
6,4,262144,0.010894,0.025071,0.072055473
6,4,1048576,0.036211,0.0732,0.158501091
6,4,4194304,0.149803,0.26756,0.489100144
8,1,1024,0.001493,0.001304,0.021852324
8,1,4096,0.001583,0.001204,0.030261064
8,1,8192,0.001639,0.00149,0.026741048
8,1,16384,0.001774,0.001816,0.030298245
8,1,65536,0.00332,0.005033,0.022544796
8,1,262144,0.009611,0.015679,0.032834129
8,1,1048576,0.033814,0.041168,0.082766933
8,1,4194304,0.134468,0.14344,0.226685607
8,2,1024,0.005535,0.001649,0.049865539
8,2,4096,0.005572,0.001551,0.050276476
8,2,8192,0.002347,0.001932,0.054675992
8,2,16384,0.002538,0.002365,0.042008554
8,2,65536,0.004206,0.006841,0.056196586
8,2,262144,0.012384,0.021285,0.049639204
8,2,1048576,0.045654,0.058095,0.118441681
8,2,4194304,0.170511,0.205536,0.385504291
8,4,1024,0.008231,0.00201,0.102837239
8,4,4096,0.012099,0.001919,0.087733023
8,4,8192,0.017316,0.002417,0.104411422
8,4,16384,0.010845,0.002951,0.076621727
8,4,65536,0.005908,0.00918,0.076471518
8,4,262144,0.016699,0.028106,0.14462516
8,4,1048576,0.057768,0.079877,0.252985807
8,4,4194304,0.348371,0.288595,0.634055179
10,1,1024,0.001352,0.001318,0.037240652
10,1,4096,0.001413,0.001233,0.034125836
10,1,8192,0.001609,0.001538,0.037849107
10,1,16384,0.001592,0.001885,0.032420011
10,1,65536,0.003137,0.005425,0.03784388
10,1,262144,0.010806,0.017026,0.039473728
10,1,1048576,0.039098,0.04654,0.078902866
10,1,4194304,0.155788,0.163112,0.338250692
10,2,1024,0.001256,0.001652,0.064030488
10,2,4096,0.001502,0.001551,0.060781504
10,2,8192,0.00143,0.001929,0.064066317
10,2,16384,0.001608,0.002368,0.061352021
10,2,65536,0.003896,0.006861,0.081436438
10,2,262144,0.013631,0.021298,0.050928273
10,2,1048576,0.049528,0.058074,0.166962743
10,2,4194304,0.185718,0.206194,0.481886293
10,4,1024,0.001344,0.00202,0.15540948
10,4,4096,0.001464,0.001922,0.171378186
10,4,8192,0.001496,0.002421,0.154275148
10,4,16384,0.001812,0.002986,0.144474167
10,4,65536,0.003889,0.009098,0.143014437
10,4,262144,0.013193,0.028275,0.15804298
10,4,1048576,0.047845,0.08066,0.240880939
10,4,4194304,0.205361,0.291506,0.708133078
