file,max_host_time
two_tree_10n_1ppn_msg1024,37240652
two_tree_10n_1ppn_msg1048576,78902866
two_tree_10n_1ppn_msg16384,32420011
two_tree_10n_1ppn_msg262144,39473728
two_tree_10n_1ppn_msg4096,34125836
two_tree_10n_1ppn_msg4194304,338250692
two_tree_10n_1ppn_msg65536,37843880
two_tree_10n_1ppn_msg8192,37849107
two_tree_10n_2ppn_msg1024,64030488
two_tree_10n_2ppn_msg1048576,166962743
two_tree_10n_2ppn_msg16384,61352021
two_tree_10n_2ppn_msg262144,50928273
two_tree_10n_2ppn_msg4096,60781504
two_tree_10n_2ppn_msg4194304,481886293
two_tree_10n_2ppn_msg65536,81436438
two_tree_10n_2ppn_msg8192,64066317
two_tree_10n_4ppn_msg1024,155409480
two_tree_10n_4ppn_msg1048576,240880939
two_tree_10n_4ppn_msg16384,144474167
two_tree_10n_4ppn_msg262144,158042980
two_tree_10n_4ppn_msg4096,171378186
two_tree_10n_4ppn_msg4194304,708133078
two_tree_10n_4ppn_msg65536,143014437
two_tree_10n_4ppn_msg8192,154275148
two_tree_6n_1ppn_msg1024,18245849
two_tree_6n_1ppn_msg1048576,69632722
two_tree_6n_1ppn_msg16384,22308090
two_tree_6n_1ppn_msg262144,29379662
two_tree_6n_1ppn_msg4096,22892289
two_tree_6n_1ppn_msg4194304,218354053
two_tree_6n_1ppn_msg65536,16111023
two_tree_6n_1ppn_msg8192,18498204
two_tree_6n_2ppn_msg1024,30183254
two_tree_6n_2ppn_msg1048576,76926704
two_tree_6n_2ppn_msg16384,31365469
two_tree_6n_2ppn_msg262144,44809728
two_tree_6n_2ppn_msg4096,30457688
two_tree_6n_2ppn_msg4194304,292108546
two_tree_6n_2ppn_msg65536,44725880
two_tree_6n_2ppn_msg8192,38088837
two_tree_6n_4ppn_msg1024,69969796
two_tree_6n_4ppn_msg1048576,158501091
two_tree_6n_4ppn_msg16384,130688459
two_tree_6n_4ppn_msg262144,72055473
two_tree_6n_4ppn_msg4096,76133309
two_tree_6n_4ppn_msg4194304,489100144
two_tree_6n_4ppn_msg65536,53099723
two_tree_6n_4ppn_msg8192,53565954
two_tree_8n_1ppn_msg1024,21852324
two_tree_8n_1ppn_msg1048576,82766933
two_tree_8n_1ppn_msg16384,30298245
two_tree_8n_1ppn_msg262144,32834129
two_tree_8n_1ppn_msg4096,30261064
two_tree_8n_1ppn_msg4194304,226685607
two_tree_8n_1ppn_msg65536,22544796
two_tree_8n_1ppn_msg8192,26741048
two_tree_8n_2ppn_msg1024,49865539
two_tree_8n_2ppn_msg1048576,118441681
two_tree_8n_2ppn_msg16384,42008554
two_tree_8n_2ppn_msg262144,49639204
two_tree_8n_2ppn_msg4096,50276476
two_tree_8n_2ppn_msg4194304,385504291
two_tree_8n_2ppn_msg65536,56196586
two_tree_8n_2ppn_msg8192,54675992
two_tree_8n_4ppn_msg1024,102837239
two_tree_8n_4ppn_msg1048576,252985807
two_tree_8n_4ppn_msg16384,76621727
two_tree_8n_4ppn_msg262144,144625160
two_tree_8n_4ppn_msg4096,87733023
two_tree_8n_4ppn_msg4194304,634055179
two_tree_8n_4ppn_msg65536,76471518
two_tree_8n_4ppn_msg8192,104411422
